name,details,pav,score,scraped_at,raw
Philippines | Search,Philippines | Search,,0.0,2026-03-22T20:07:59.797948,Philippines | Search
Philippines | Search,Philippines | Search,,0.0,2026-03-22T20:07:59.801828,Philippines | Search
,,,0.0,2026-03-22T20:07:59.805829,
,,,0.0,2026-03-22T20:07:59.809565,
,,,0.0,2026-03-22T20:07:59.813860,
